Brand;Model;Year;Engine Fuel Type;Engine HP;Engine Cylinders;Transmission Type;Driven Wheels;Number of Doors;Market Category;Vehicle Size;Vehicle Style;Highway MPG;City MPG;Popularity;MSRP;Country
BMW;1 Series M;2011;premium unleaded (required);335;6;MANUAL;rear wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Coupe;26;19;3916;46135;Germany
BMW;1 Series;2011;premium unleaded (required);300;6;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Convertible;28;19;3916;40650;Germany
BMW;1 Series;2011;premium unleaded (required);300;6;MANUAL;rear wheel drive;2;Luxury,High-Performance;Compact;Coupe;28;20;3916;36350;Germany
BMW;1 Series;2011;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Coupe;28;18;3916;29450;Germany
BMW;1 Series;2011;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury;Compact;Convertible;28;18;3916;34500;Germany
BMW;1 Series;2012;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Coupe;28;18;3916;31200;Germany
BMW;1 Series;2012;premium unleaded (required);300;6;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Convertible;26;17;3916;44100;Germany
BMW;1 Series;2012;premium unleaded (required);300;6;MANUAL;rear wheel drive;2;Luxury,High-Performance;Compact;Coupe;28;20;3916;39300;Germany
BMW;1 Series;2012;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury;Compact;Convertible;28;18;3916;36900;Germany
BMW;1 Series;2013;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury;Compact;Convertible;27;18;3916;37200;Germany
BMW;1 Series;2013;premium unleaded (required);300;6;MANUAL;rear wheel drive;2;Luxury,High-Performance;Compact;Coupe;28;20;3916;39600;Germany
BMW;1 Series;2013;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Coupe;28;19;3916;31500;Germany
BMW;1 Series;2013;premium unleaded (required);300;6;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Convertible;28;19;3916;44400;Germany
BMW;1 Series;2013;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury;Compact;Convertible;28;19;3916;37200;Germany
BMW;1 Series;2013;premium unleaded (required);230;6;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Coupe;28;19;3916;31500;Germany
BMW;1 Series;2013;premium unleaded (required);320;6;MANUAL;rear wheel drive;2;Luxury,High-Performance;Compact;Convertible;25;18;3916;48250;Germany
BMW;1 Series;2013;premium unleaded (required);320;6;MANUAL;rear wheel drive;2;Luxury,High-Performance;Compact;Coupe;28;20;3916;43550;Germany
Audi;100;1992;regular unleaded;172;6;MANUAL;front wheel drive;4;Luxury;Midsize;Sedan;24;17;3105;2000;Germany
Audi;100;1992;regular unleaded;172;6;MANUAL;front wheel drive;4;Luxury;Midsize;Sedan;24;17;3105;2000;Germany
Audi;100;1992;regular unleaded;172;6;AUTOMATIC;all wheel drive;4;Luxury;Midsize;Wagon;20;16;3105;2000;Germany
Audi;100;1992;regular unleaded;172;6;MANUAL;front wheel drive;4;Luxury;Midsize;Sedan;24;17;3105;2000;Germany
Audi;100;1992;regular unleaded;172;6;MANUAL;all wheel drive;4;Luxury;Midsize;Sedan;21;16;3105;2000;Germany
Audi;100;1993;regular unleaded;172;6;MANUAL;front wheel drive;4;Luxury;Midsize;Sedan;24;17;3105;2000;Germany
Audi;100;1993;regular unleaded;172;6;AUTOMATIC;all wheel drive;4;Luxury;Midsize;Wagon;20;16;3105;2000;Germany
Audi;100;1993;regular unleaded;172;6;MANUAL;front wheel drive;4;Luxury;Midsize;Sedan;24;17;3105;2000;Germany
Audi;100;1993;regular unleaded;172;6;MANUAL;front wheel drive;4;Luxury;Midsize;Sedan;24;17;3105;2000;Germany
Audi;100;1993;regular unleaded;172;6;MANUAL;all wheel drive;4;Luxury;Midsize;Sedan;21;16;3105;2000;Germany
Audi;100;1994;regular unleaded;172;6;AUTOMATIC;front wheel drive;4;Luxury;Midsize;Wagon;21;16;3105;2000;Germany
Audi;100;1994;regular unleaded;172;6;MANUAL;all wheel drive;4;Luxury;Midsize;Sedan;22;16;3105;2000;Germany
Audi;100;1994;regular unleaded;172;6;MANUAL;front wheel drive;4;Luxury;Midsize;Sedan;22;17;3105;2000;Germany
Audi;100;1994;regular unleaded;172;6;AUTOMATIC;front wheel drive;4;Luxury;Midsize;Sedan;22;16;3105;2000;Germany
Audi;100;1994;regular unleaded;172;6;AUTOMATIC;all wheel drive;4;Luxury;Midsize;Wagon;21;16;3105;2000;Germany
FIAT;124 Spider;2017;premium unleaded (recommended);160;4;MANUAL;rear wheel drive;2;Performance;Compact;Convertible;35;26;819;27495;Italy
FIAT;124 Spider;2017;premium unleaded (recommended);160;4;MANUAL;rear wheel drive;2;Performance;Compact;Convertible;35;26;819;24995;Italy
FIAT;124 Spider;2017;premium unleaded (recommended);160;4;MANUAL;rear wheel drive;2;Performance;Compact;Convertible;35;26;819;28195;Italy
Mercedes-Benz;190-Class;1991;regular unleaded;130;4;MANUAL;rear wheel drive;4;Luxury;Compact;Sedan;26;18;617;2000;Germany
Mercedes-Benz;190-Class;1991;regular unleaded;158;6;MANUAL;rear wheel drive;4;Luxury;Compact;Sedan;25;17;617;2000;Germany
Mercedes-Benz;190-Class;1992;regular unleaded;158;6;MANUAL;rear wheel drive;4;Luxury;Compact;Sedan;25;17;617;2000;Germany
Mercedes-Benz;190-Class;1992;regular unleaded;130;4;MANUAL;rear wheel drive;4;Luxury;Compact;Sedan;26;18;617;2000;Germany
Mercedes-Benz;190-Class;1993;regular unleaded;130;4;MANUAL;rear wheel drive;4;Luxury;Compact;Sedan;26;18;617;2000;Germany
Mercedes-Benz;190-Class;1993;regular unleaded;158;6;MANUAL;rear wheel drive;4;Luxury;Compact;Sedan;25;17;617;2000;Germany
BMW;2 Series;2016;premium unleaded (required);240;4;AUTOMATIC;rear wheel drive;2;Luxury,Performance;Compact;Coupe;35;23;3916;32850;Germany
BMW;2 Series;2016;premium unleaded (required);240;4;AUTOMATIC;rear wheel drive;2;Luxury;Compact;Convertible;34;23;3916;38650;Germany
BMW;2 Series;2016;premium unleaded (required);320;6;AUTOMATIC;rear wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Convertible;31;20;3916;48750;Germany
BMW;2 Series;2016;premium unleaded (required);240;4;AUTOMATIC;all wheel drive;2;Luxury,Performance;Compact;Coupe;35;23;3916;34850;Germany
BMW;2 Series;2016;premium unleaded (required);240;4;AUTOMATIC;all wheel drive;2;Luxury;Compact;Convertible;34;22;3916;40650;Germany
BMW;2 Series;2016;premium unleaded (required);320;6;AUTOMATIC;rear wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Coupe;31;20;3916;44150;Germany
BMW;2 Series;2016;premium unleaded (required);240;4;MANUAL;rear wheel drive;2;Luxury,Performance;Compact;Coupe;34;22;3916;32850;Germany
BMW;2 Series;2016;premium unleaded (required);320;6;AUTOMATIC;all wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Coupe;30;20;3916;46150;Germany
BMW;2 Series;2016;premium unleaded (required);320;6;AUTOMATIC;rear wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Convertible;30;20;3916;50750;Germany
BMW;2 Series;2017;premium unleaded (recommended);335;6;AUTOMATIC;all wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Coupe;31;21;3916;46450;Germany
BMW;2 Series;2017;premium unleaded (recommended);335;6;AUTOMATIC;rear wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Convertible;32;21;3916;49050;Germany
BMW;2 Series;2017;premium unleaded (recommended);335;6;AUTOMATIC;all wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Convertible;32;21;3916;51050;Germany
BMW;2 Series;2017;premium unleaded (recommended);335;6;AUTOMATIC;rear wheel drive;2;Factory Tuner,Luxury,High-Performance;Compact;Coupe;32;21;3916;44450;Germany
BMW;2 Series;2017;premium unleaded (recommended);248;4;AUTOMATIC;rear wheel drive;2;Luxury,Performance;Compact;Convertible;34;23;3916;38950;Germany
BMW;2 Series;2017;premium unleaded (recommended);248;4;AUTOMATIC;rear wheel drive;2;Luxury,Performance;Compact;Coupe;35;24;3916;33150;Germany
BMW;2 Series;2017;premium unleaded (recommended);248;4;AUTOMATIC;all wheel drive;2;Luxury,Performance;Compact;Coupe;33;24;3916;35150;Germany
BMW;2 Series;2017;premium unleaded (recommended);248;4;AUTOMATIC;all wheel drive;2;Luxury;Compact;Convertible;33;23;3916;40950;Germany
Audi;200;1990;regular unleaded;162;5;AUTOMATIC;front wheel drive;4;Luxury;Midsize;Sedan;20;16;3105;2000;Germany
Audi;200;1990;regular unleaded;162;5;MANUAL;all wheel drive;4;Luxury;Midsize;Wagon;22;15;3105;2000;Germany
Audi;200;1990;regular unleaded;162;5;MANUAL;all wheel drive;4;Luxury;Midsize;Sedan;23;15;3105;2000;Germany
Audi;200;1991;regular unleaded;217;5;MANUAL;all wheel drive;4;Luxury,Performance;Midsize;Sedan;22;16;3105;2000;Germany
Audi;200;1991;regular unleaded;217;5;MANUAL;all wheel drive;4;Luxury,Performance;Midsize;Wagon;22;16;3105;2000;Germany
Audi;200;1991;regular unleaded;162;5;AUTOMATIC;front wheel drive;4;Luxury;Midsize;Sedan;20;16;3105;2000;Germany
Chrysler;200;2015;flex-fuel (unleaded/E85);184;4;AUTOMATIC;front wheel drive;4;Flex Fuel;Midsize;Sedan;36;23;1013;25170;USA
Chrysler;200;2015;flex-fuel (unleaded/E85);184;4;AUTOMATIC;front wheel drive;4;Flex Fuel;Midsize;Sedan;36;23;1013;23950;USA
Chrysler;200;2015;flex-fuel (unleaded/E85);295;6;AUTOMATIC;all wheel drive;4;Flex Fuel,Performance;Midsize;Sedan;29;18;1013;29370;USA
